Date,Open,High,Low,Close,Adjsutment close,Volume
25-09-1981,-0.023330216,-0.023459529,-0.02319607,-0.023361471,-0.022488502,-0.598228786
28-09-1981,-0.023358002,-0.023459529,-0.023167989,-0.023333662,-0.022463317,-0.398047249
29-09-1981,-0.023191289,-0.023293748,-0.022999506,-0.023166805,-0.022312499,-0.38768491
30-09-1981,-0.023163503,-0.023266117,-0.022971425,-0.023138995,-0.022287373,-0.544297525
01-10-1981,-0.023163503,-0.023266117,-0.022971425,-0.023138995,-0.022287373,-0.505281751
02-10-1981,-0.022885598,-0.022989766,-0.022690569,-0.022860851,-0.022035989,-0.561646591
05-10-1981,-0.022774456,-0.022851615,-0.022578247,-0.022749613,-0.021935425,-0.568476314
06-10-1981,-0.022774456,-0.022906876,-0.022606327,-0.022777422,-0.021960551,-0.620131001
07-10-1981,-0.022579958,-0.022658204,-0.022381683,-0.022554946,-0.02175948,-0.583391801
08-10-1981,-0.02244103,-0.022547683,-0.02224128,-0.022415899,-0.021633788,-0.610553688
09-10-1981,-0.022413245,-0.022492423,-0.022213199,-0.022388089,-0.021608662,-0.528440007
12-10-1981,-0.022274267,-0.022381853,-0.022072746,-0.022248992,-0.02148297,-0.623663617
13-10-1981,-0.022274267,-0.022354223,-0.022072746,-0.022248992,-0.02148297,-0.564629689
14-10-1981,-0.022496601,-0.022630574,-0.022325522,-0.022499327,-0.021709227,-0.610946201
15-10-1981,-0.02244103,-0.022547683,-0.02224128,-0.022415899,-0.021633788,-0.616362878
16-10-1981,-0.022468816,-0.022602944,-0.022297441,-0.022471518,-0.0216841,-0.591713073
19-10-1981,-0.022413245,-0.022520053,-0.022213199,-0.022388089,-0.021608662,-0.647371391
20-10-1981,-0.022190911,-0.022298962,-0.021988504,-0.022165563,-0.021407532,-0.594303658
21-10-1981,-0.022190911,-0.022298962,-0.021988504,-0.022165563,-0.021407532,-0.450015946
22-10-1981,-0.022190911,-0.022326592,-0.022016585,-0.022193373,-0.021432658,-0.606393053
23-10-1981,-0.022302103,-0.022437163,-0.022128957,-0.022304661,-0.021533282,-0.621701052
26-10-1981,-0.022329888,-0.022437163,-0.022128957,-0.022304661,-0.021533282,-0.623899124
27-10-1981,-0.022246482,-0.022326592,-0.022044665,-0.022221182,-0.021457785,-0.419556951
28-10-1981,-0.022107554,-0.022216072,-0.021904262,-0.022082135,-0.021332152,-0.564708191
29-10-1981,-0.02213534,-0.022271332,-0.021960424,-0.022137754,-0.021382405,-0.612673258
30-10-1981,-0.022107554,-0.022216072,-0.021904262,-0.022082135,-0.021332152,-0.534720212
02-11-1981,-0.022107554,-0.022216072,-0.021904262,-0.022082135,-0.021332152,-0.590143022
03-11-1981,-0.02213534,-0.022271332,-0.021960424,-0.022137754,-0.021382405,-0.620052499
04-11-1981,-0.022246482,-0.022381853,-0.022072746,-0.022248992,-0.02148297,-0.636067022
05-11-1981,-0.022552172,-0.022685834,-0.022381683,-0.022554946,-0.02175948,-0.637637073
06-11-1981,-0.022552172,-0.022658204,-0.022353602,-0.022527137,-0.021734353,-0.633319432
09-11-1981,-0.022496601,-0.022602944,-0.022297441,-0.022471518,-0.0216841,-0.648077914
10-11-1981,-0.022468816,-0.022575314,-0.02226936,-0.022443708,-0.021658915,-0.660795329
11-11-1981,-0.022357674,-0.022464793,-0.022157038,-0.02233247,-0.021558408,-0.623349606
12-11-1981,-0.022218696,-0.022326592,-0.022016585,-0.022193373,-0.021432658,-0.579623678
13-11-1981,-0.022496601,-0.022630574,-0.022325522,-0.022499327,-0.021709227,-0.645879842
16-11-1981,-0.022552172,-0.022685834,-0.022381683,-0.022554946,-0.02175948,-0.640463165
17-11-1981,-0.022496601,-0.022602944,-0.022297441,-0.022471518,-0.0216841,-0.595402694
18-11-1981,-0.022357674,-0.022464793,-0.022157038,-0.02233247,-0.021558408,-0.617383411
19-11-1981,-0.022357674,-0.022464793,-0.022157038,-0.02233247,-0.021558408,-0.579309668
20-11-1981,-0.022329888,-0.022437163,-0.022128957,-0.022304661,-0.021533282,-0.585982386
23-11-1981,-0.022468816,-0.022602944,-0.022325522,-0.022499327,-0.021709227,-0.639050119
24-11-1981,-0.022524387,-0.022658204,-0.022353602,-0.022527137,-0.021734353,-0.641876211
25-11-1981,-0.022468816,-0.022575314,-0.02226936,-0.022443708,-0.021658915,-0.535348232
27-11-1981,-0.022357674,-0.022464793,-0.022157038,-0.02233247,-0.021558408,-0.588965483
30-11-1981,-0.022385459,-0.022520053,-0.022213199,-0.022388089,-0.021608662,-0.635517504
01-12-1981,-0.022413245,-0.022520053,-0.022213199,-0.022388089,-0.021608662,-0.63755857
02-12-1981,-0.022385459,-0.022492423,-0.022185119,-0.02236028,-0.021583535,-0.587866448
03-12-1981,-0.022413245,-0.022547683,-0.02224128,-0.022415899,-0.021633788,-0.647920909
04-12-1981,-0.022329888,-0.022437163,-0.022128957,-0.022304661,-0.021533282,-0.23884405
07-12-1981,-0.022302103,-0.022409483,-0.022100877,-0.022276851,-0.021508155,-0.511718961
08-12-1981,-0.022329888,-0.022464793,-0.022185119,-0.02236028,-0.021583535,-0.542099453
09-12-1981,-0.022357674,-0.022464793,-0.022157038,-0.02233247,-0.021558408,-0.599406324
10-12-1981,-0.022357674,-0.022464793,-0.022157038,-0.02233247,-0.021558408,-0.588415965
11-12-1981,-0.022357674,-0.022464793,-0.022185119,-0.02236028,-0.021583535,-0.452842038
14-12-1981,-0.022468816,-0.022602944,-0.022325522,-0.022499327,-0.021709227,-0.631042857
15-12-1981,-0.022413245,-0.022520053,-0.022213199,-0.022388089,-0.021608662,-0.609768663
16-12-1981,-0.022218696,-0.022326592,-0.022016585,-0.022193373,-0.021432658,-0.490130756
17-12-1981,-0.021857485,-0.0219674,-0.021651537,-0.021831849,-0.021105895,-0.539194858
18-12-1981,-0.021468438,-0.021580528,-0.021258359,-0.021442467,-0.020753947,-0.468150038
21-12-1981,-0.021662986,-0.021801619,-0.021483054,-0.021664992,-0.020955077,-0.521845792
22-12-1981,-0.021607415,-0.021718729,-0.021398812,-0.021581564,-0.020879697,-0.530873586
23-12-1981,-0.021690772,-0.021829249,-0.021511134,-0.021692802,-0.020980204,-0.61824694
24-12-1981,-0.021690772,-0.021801619,-0.021483054,-0.021664992,-0.020955077,-0.618168437
